Date,Plot,Trt,TrtName,NewTrt,GCC,Drop,Outlier_Notes,Notes
5/18/21,5,1,drought,dry w/ deluge,0.3409826,n,,"Image very crooked like phone tilted, may be distorted"
5/18/21,6,3,ambient (no del),amb,0.3413553,n,,
5/18/21,9,3,ambient (no del),amb,0.3365443,n,,
5/18/21,10,2,wet,amb w/ deluge,0.3432798,n,,
5/18/21,11,2,wet,amb w/ deluge,0.3476073,n,,
5/18/21,12,4,ambient (w/ del),amb,0.3498405,n,,
5/18/21,13,2,wet,amb w/ deluge,0.3417475,n,,
5/18/21,14,1,drought,dry w/ deluge,0.3628535,n,,
5/18/21,15,1,drought,dry w/ deluge,0.3451174,n,,"Image very crooked like phone tilted, may be distorted"
5/18/21,16,2,wet,amb w/ deluge,0.3427241,n,,"Cropped portion of flag from lower corner/side, ~2-3% of image missing"
5/18/21,18,3,ambient (no del),amb,0.3386493,n,,
5/18/21,19,1,drought,dry w/ deluge,0.3374082,n,,"Image very crooked like phone tilted, may be distorted"
5/18/21,20,2,wet,amb w/ deluge,0.3433294,n,,
5/18/21,21,4,ambient (w/ del),amb,0.3486897,n,,
5/18/21,22,1,drought,dry w/ deluge,0.3416196,n,,"Image very crooked like phone tilted, may be distorted"
5/18/21,23,4,ambient (w/ del),amb,0.3441651,n,,
5/18/21,24,2,wet,amb w/ deluge,0.3426978,n,,
5/18/21,26,4,ambient (w/ del),amb,0.3465596,n,,
5/18/21,28,3,ambient (no del),amb,0.3350844,n,,
5/18/21,29,4,ambient (w/ del),amb,0.3385731,n,,
5/18/21,30,2,wet,amb w/ deluge,0.3327603,n,,
5/18/21,31,3,ambient (no del),amb,0.3402817,n,,
5/18/21,32,4,ambient (w/ del),amb,0.3382794,n,,
5/18/21,33,1,drought,dry w/ deluge,0.3447546,n,,
5/18/21,34,3,ambient (no del),amb,0.3377044,n,,Cropped part of flag out of upper corner (<2% missing)
5/18/21,35,4,ambient (w/ del),amb,0.3441004,n,,
5/18/21,37,2,wet,amb w/ deluge,0.3411554,n,,
5/18/21,38,1,drought,dry w/ deluge,0.3519034,n,,Cropped part of flag out of upper corner (<2% missing); image slightly crooked
5/18/21,39,3,ambient (no del),amb,0.3434459,n,,
5/18/21,41,1,drought,dry w/ deluge,0.346304,n,,"Image very crooked like phone tilted, may be distorted"
5/18/21,42,3,ambient (no del),amb,0.3393586,n,,
5/18/21,43,3,ambient (no del),amb,0.3424759,n,,
5/18/21,44,2,wet,amb w/ deluge,0.3396346,n,,
5/18/21,45,4,ambient (w/ del),amb,0.3359094,n,,
5/18/21,47,4,ambient (w/ del),amb,0.335928,n,,
5/18/21,49,1,drought,dry w/ deluge,0.3527402,n,,"Image slightly crooked from tilted phone, also cropped flag out of upper corner (<2% missing)"
5/18/21,50,4,ambient (w/ del),amb,0.3444033,n,,
5/24/21,2,3,ambient (no del),amb,0.3642321,n,,
5/24/21,3,1,drought,dry w/ deluge,0.3643314,n,,"Image very crooked like phone tilted, may be distorted"
5/24/21,4,2,wet,amb w/ deluge,0.3467316,n,,
5/24/21,5,1,drought,dry w/ deluge,0.3472405,n,,"Image very crooked like phone tilted, may be distorted"
5/24/21,6,3,ambient (no del),amb,0.34498,n,,
5/24/21,9,3,ambient (no del),amb,0.3412077,n,,
5/24/21,10,2,wet,amb w/ deluge,0.3523421,n,,
5/24/21,11,2,wet,amb w/ deluge,0.3533895,n,,
5/24/21,12,4,ambient (w/ del),amb,0.3516214,n,,
5/24/21,13,2,wet,amb w/ deluge,0.3496705,n,,
5/24/21,14,1,drought,dry w/ deluge,0.3692882,n,,"Image very crooked like phone tilted, may be distorted"
5/24/21,15,1,drought,dry w/ deluge,0.3588971,n,,
5/24/21,16,2,wet,amb w/ deluge,0.348694,n,,
5/24/21,18,3,ambient (no del),amb,0.3442422,n,,
5/24/21,19,1,drought,dry w/ deluge,0.3406404,n,,"Image very crooked like phone tilted, may be distorted"
5/24/21,20,2,wet,amb w/ deluge,0.3462125,n,,
5/24/21,21,4,ambient (w/ del),amb,0.3501957,n,,
5/24/21,22,1,drought,dry w/ deluge,0.343004,n,,
5/24/21,23,4,ambient (w/ del),amb,0.3482075,n,,
5/24/21,24,2,wet,amb w/ deluge,0.3486479,n,,
5/24/21,26,4,ambient (w/ del),amb,0.3553329,n,,
5/24/21,28,3,ambient (no del),amb,0.3352196,n,,
5/24/21,29,4,ambient (w/ del),amb,0.3385418,n,,
5/24/21,30,2,wet,amb w/ deluge,0.3375481,n,,
5/24/21,31,3,ambient (no del),amb,0.3385152,n,,
5/24/21,32,4,ambient (w/ del),amb,0.3366159,n,,
5/24/21,33,1,drought,dry w/ deluge,NA,y,,Image missing – never cropped
5/24/21,34,3,ambient (no del),amb,0.339755,n,,
5/24/21,35,4,ambient (w/ del),amb,0.3464938,n,,
5/24/21,37,2,wet,amb w/ deluge,0.3453548,n,,
5/24/21,38,1,drought,dry w/ deluge,0.3465585,n,,
5/24/21,39,3,ambient (no del),amb,NA,y,,Image missing – never cropped
5/24/21,41,1,drought,dry w/ deluge,0.3618463,n,,"Image very crooked like phone tilted, may be distorted"
5/24/21,42,3,ambient (no del),amb,0.3381861,n,,
5/24/21,43,3,ambient (no del),amb,0.3448632,n,,
