doy,VWC,depth,Plot,Trt
130,36.82375,50,15,dry w/ deluge
130,30.775,55,15,dry w/ deluge
130,24.72625,60,15,dry w/ deluge
130,22.225,65,15,dry w/ deluge
130,19.72375,70,15,dry w/ deluge
130,22.37125,75,15,dry w/ deluge
130,25.01875,80,15,dry w/ deluge
130,25.315,85,15,dry w/ deluge
130,25.61125,90,15,dry w/ deluge
131,36.035,10,15,dry w/ deluge
131,34.255,15,15,dry w/ deluge
131,32.475,20,15,dry w/ deluge
131,37.25,25,15,dry w/ deluge
131,42.025,30,15,dry w/ deluge
131,42.38,35,15,dry w/ deluge
131,42.735,40,15,dry w/ deluge
131,40.105,45,15,dry w/ deluge
131,37.475,50,15,dry w/ deluge
131,31.485,55,15,dry w/ deluge
131,25.495,60,15,dry w/ deluge
131,22.615,65,15,dry w/ deluge
131,19.735,70,15,dry w/ deluge
131,22.37,75,15,dry w/ deluge
131,25.005,80,15,dry w/ deluge
131,25.285,85,15,dry w/ deluge
131,25.565,90,15,dry w/ deluge
132,35.93125,10,15,dry w/ deluge
132,33.88,15,15,dry w/ deluge
132,31.82875,20,15,dry w/ deluge
132,36.94375,25,15,dry w/ deluge
132,42.05875,30,15,dry w/ deluge
132,42.40125,35,15,dry w/ deluge
132,42.74375,40,15,dry w/ deluge
132,40.435,45,15,dry w/ deluge
132,38.12625,50,15,dry w/ deluge
132,32.195,55,15,dry w/ deluge
132,26.26375,60,15,dry w/ deluge
132,23.005,65,15,dry w/ deluge
132,19.74625,70,15,dry w/ deluge
132,22.36875,75,15,dry w/ deluge
132,24.99125,80,15,dry w/ deluge
132,25.255,85,15,dry w/ deluge
132,25.51875,90,15,dry w/ deluge
133,35.8275,10,15,dry w/ deluge
133,33.505,15,15,dry w/ deluge
133,31.1825,20,15,dry w/ deluge
133,36.6375,25,15,dry w/ deluge
133,42.0925,30,15,dry w/ deluge
133,42.4225,35,15,dry w/ deluge
133,42.7525,40,15,dry w/ deluge
133,40.765,45,15,dry w/ deluge
133,38.7775,50,15,dry w/ deluge
133,32.905,55,15,dry w/ deluge
133,27.0325,60,15,dry w/ deluge
133,23.395,65,15,dry w/ deluge
133,19.7575,70,15,dry w/ deluge
133,22.3675,75,15,dry w/ deluge
133,24.9775,80,15,dry w/ deluge
133,25.225,85,15,dry w/ deluge
133,25.4725,90,15,dry w/ deluge
134,35.72375,10,15,dry w/ deluge
134,33.13,15,15,dry w/ deluge
134,30.53625,20,15,dry w/ deluge
134,36.33125,25,15,dry w/ deluge
134,42.12625,30,15,dry w/ deluge
134,42.44375,35,15,dry w/ deluge
134,42.76125,40,15,dry w/ deluge
134,41.095,45,15,dry w/ deluge
134,39.42875,50,15,dry w/ deluge
134,33.615,55,15,dry w/ deluge
134,27.80125,60,15,dry w/ deluge
134,23.785,65,15,dry w/ deluge
134,19.76875,70,15,dry w/ deluge
134,22.36625,75,15,dry w/ deluge
134,24.96375,80,15,dry w/ deluge
134,25.195,85,15,dry w/ deluge
134,25.42625,90,15,dry w/ deluge
135,35.62,10,15,dry w/ deluge
135,32.755,15,15,dry w/ deluge
135,29.89,20,15,dry w/ deluge
135,36.025,25,15,dry w/ deluge
135,42.16,30,15,dry w/ deluge
135,42.465,35,15,dry w/ deluge
135,42.77,40,15,dry w/ deluge
135,41.425,45,15,dry w/ deluge
135,40.08,50,15,dry w/ deluge
135,34.325,55,15,dry w/ deluge
135,28.57,60,15,dry w/ deluge
135,24.175,65,15,dry w/ deluge
135,19.78,70,15,dry w/ deluge
135,22.365,75,15,dry w/ deluge
135,24.95,80,15,dry w/ deluge
135,25.165,85,15,dry w/ deluge
135,25.38,90,15,dry w/ deluge
136,36.028,10,15,dry w/ deluge
